file,param,F1,F2,F3,error,file_name,id,group,label,max_formant,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-W6_param.csv,1,8.122102433691257,-25.154100119717643,-93.98245803740367,5.9480683603081e-4,beat-W6,0-0-1-1,group_0,iy,8025.641025641025,1,2,beat,1,0.15999999999999998,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-W6_param.csv,2,2.116722921009551,-12.565977062325484,10.848266138153186,5.9480683603081e-4,beat-W6,0-0-1-1,group_0,iy,8025.641025641025,1,2,beat,1,0.15999999999999998,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-W6_param.csv,3,-1.7607987456341652,5.828951881790821,10.491506734292924,5.9480683603081e-4,beat-W6,0-0-1-1,group_0,iy,8025.641025641025,1,2,beat,1,0.15999999999999998,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-W6_param.csv,4,2.123805707519968,-17.424176554792005,-9.56680611856862,5.9480683603081e-4,beat-W6,0-0-1-1,group_0,iy,8025.641025641025,1,2,beat,1,0.15999999999999998,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-W9_param.csv,0,176.94701175727803,1439.3661723511325,2146.9549789671664,4.9030585569487e-4,beat-W9,0-0-1-1,group_0,iy,6410.25641025641,1,1,beat,1,0.12,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-W9_param.csv,1,-0.7696285492459197,-14.986587260424914,-16.876565353207717,4.9030585569487e-4,beat-W9,0-0-1-1,group_0,iy,6410.25641025641,1,1,beat,1,0.12,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-W9_param.csv,2,1.875651272751444,-6.745983851178088,-2.6126013840315805,4.9030585569487e-4,beat-W9,0-0-1-1,group_0,iy,6410.25641025641,1,1,beat,1,0.12,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-W9_param.csv,3,1.4555291121126357,-1.937036210063896,-6.753925166642138,4.9030585569487e-4,beat-W9,0-0-1-1,group_0,iy,6410.25641025641,1,1,beat,1,0.12,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/beat-W9_param.csv,4,-1.7405476540033908,0.29959488701169784,-7.335739060094775,4.9030585569487e-4,beat-W9,0-0-1-1,group_0,iy,6410.25641025641,1,1,beat,1,0.12,NA,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bet-AC_param.csv,0,391.851255948806,1282.4232790228637,2134.7155587161383,3.9801036244267e-4,bet-AC,0-0-0-1,group_0,e,7487.179487179487,1,2,bet,1,0.2,#,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bet-AC_param.csv,1,-15.463154054416968,36.05921593464291,-12.079494363815195,3.9801036244267e-4,bet-AC,0-0-0-1,group_0,e,7487.179487179487,1,2,bet,1,0.2,#,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bet-AC_param.csv,2,18.95528707786719,-43.19039493632602,36.912474710151145,3.9801036244267e-4,bet-AC,0-0-0-1,group_0,e,7487.179487179487,1,2,bet,1,0.2,#,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bet-AC_param.csv,3,8.10052540018339,-6.8461551324320595,-25.04950123329847,3.9801036244267e-4,bet-AC,0-0-0-1,group_0,e,7487.179487179487,1,2,bet,1,0.2,#,NA,B,T,B,TRUE,internal
/Users/stellatakvoryan/Documents/ASC/FAVE files/bet-AC_param.csv,4,3.7844989162820655,-18.423050933296977,3.9816403864409264,3.9801036244267e-4,bet-AC,0-0-0-1,group_0,e,7487.179487179487,1,2,bet,1,0.2,#,NA,B,T,B,TRUE,internal
